Created Date,Gift Name,User ID,Product,Price,Has Relationship (Yes / No),Occasion,Use Case,Missing Value Check
01-02-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,39968147,GC,8.49,No,Just Because,Thank You,0
01-02-2021,Dark Chocolate Truffles with Edible Gold Leaf,39067940,GC,14.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Bonsai Trees Growing Kit,44549562,PC,12.99,No,Sympathy,Condolences,0
01-02-2021,Bonsai Trees Growing Kit,39603019,PC,12.99,No,Just Because,Thank You,0
01-02-2021,Pink Marc de Champagne Chocolate Truffles,45851062,PC,14.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Belgian Chocolates Selection,39592301,PC,13.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Happy Birthday Gift Set - size 41-46,41908736,GC,29.99,No,Just Because,Just Because / Miss you / Love,0
01-02-2021,Italian Soft Nougat Selection,39731538,PC,13.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Dark Sea Salt Caramel Chocolate Truffles,43755500,GC,14.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Cork Brew Reusable 12oz Glass Cup,11904729,GC,21.99,No,Special Occasions,Congratulations,0
01-02-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,42783224,PC,8.49,No,Special Occasions,Happy Birthday,0
01-02-2021,Demerara Shortbread Rounds Tin,42014022,GC,9.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,45595202,GC,8.49,No,Just Because,Thank You,0
01-02-2021,Dark Sea Salt Caramel Chocolate Truffles,39627084,GC,14.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Pink Marc de Champagne Chocolate Truffles,45564096,GC,14.99,No,Special Occasions,Happy Birthday,0
01-02-2021,Pink Marc de Champagne Chocolate Truffles,45948752,GC,14.99,Yes,Special Occasions,Congratulations,0
31-01-2021,Belgian Chocolates Selection,39680422,GC,13.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,44417290,PC,8.49,No,Special Occasions,Congratulations,0
31-01-2021,Thank You Mini Jar Of Paper Roses in a matchbox,38448785,PC,4.99,No,Just Because,Thank You,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,180009117,GC,14.99,No,Sympathy,Condolences,0
31-01-2021,Demerara Shortbread Rounds Tin,39772688,GC,9.99,No,Special Occasions,Wedding,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,45910032,PC,14.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,39229776,GC,14.99,No,Special Occasions,Happy Birthday,1
31-01-2021,Thank You Mini Jar Of Paper Roses in a matchbox,45944728,PC,4.99,No,Just Because,Thank You,0
31-01-2021,Bonsai Trees Growing Kit,42804636,GC,12.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,45619870,PC,14.99,No,Special Occasions,Congratulations,0
31-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,44741936,PC,6.99,No,Special Occasions,Happy Birthday,0
31-01-2021,The Captains Gluten Free Cookies,44758032,GC,6.99,Yes,Special Occasions,Happy Birthday,0
31-01-2021,Demerara Shortbread Rounds Tin,40633256,PC,9.99,Yes,Special Occasions,Happy Birthday,0
31-01-2021,Happy Birthday Pearl And Candle In a Matchbox,43242612,GC,4.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,38865212,PC,8.49,No,Just Because,Thank You,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,39602030,PC,14.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Belgian Chocolates Selection,45346502,GC,13.99,Yes,Special Occasions,Anniversary,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,44493810,GC,14.99,No,Just Because,Thank You,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,39553513,PC,14.99,No,Special Occasions,Happy Birthday,0
31-01-2021,The Captains Gluten Free Cookies,44193868,GC,6.99,No,Special Occasions,Happy Birthday,0
31-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,45130956,GC,6.99,Yes,Just Because,Just Because / Miss you / Love,0
31-01-2021,Original Drinking Chocolate,38854308,PC,11.99,No,Holidays,Christmas / New Year,0
31-01-2021,Chocolate Drop Shortbread Rounds in Tin,39570655,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,English Breakfast Whole Leaf Tea Bags Caddy,45613248,PC,7.49,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Belgian Chocolates Selection,39553513,PC,13.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Belgian Chocolates Selection,39574241,GC,13.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Thank You Mini Jar Of Paper Roses in a matchbox,42360172,PC,4.99,No,Travel,Travel,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,38810292,PC,14.99,No,Sympathy,Condolences,0
31-01-2021,Thank You Mini Jar Of Paper Roses in a matchbox,42360172,PC,4.99,No,Just Because,Thank You,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,43152294,GC,14.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Original Drinking Chocolate,38854308,PC,11.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,45868064,PC,14.99,No,Just Because,Thank You,0
31-01-2021,Belgian Chocolates Selection,38751758,GC,13.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Dark Sea Salt Caramel Chocolate Truffles,45261870,GC,14.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Belgian Chocolates Selection,43152294,GC,13.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Belgian Chocolates Selection,40443794,PC,13.99,No,Just Because,Thank You,0
31-01-2021,Milk Chocolate with Popping Candy Lolly Making Kit,44404312,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Happy Birthday Music Box in a Matchbox,45092188,PC,5.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,38281199,GC,14.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Pink Marc de Champagne Chocolate Truffles,45018468,GC,14.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Demerara Shortbread Rounds Tin,37875593,GC,9.99,No,Sympathy,Get Well Soon,0
31-01-2021,Belgian Chocolates Selection,39613144,GC,13.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,45126236,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
31-01-2021,Chocolate Drop Shortbread Rounds in Tin,45457926,PC,9.99,No,Sympathy,Get Well Soon,0
31-01-2021,Chocolate Drop Shortbread Rounds in Tin,38442871,GC,9.99,No,Special Occasions,Happy Birthday,0
31-01-2021,Chocolate Drop Shortbread Rounds in Tin,43710366,GC,9.99,No,Special Occasions,Anniversary,0
30-01-2021,The Captains Gluten Free Cookies,44406714,GC,6.99,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Belgian Chocolates Selection,44389526,GC,13.99,Yes,Special Occasions,Happy Birthday,0
30-01-2021,Pink Marc de Champagne Chocolate Truffles,42430420,GC,14.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Pink Marc de Champagne Chocolate Truffles,40746660,GC,14.99,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Dark Sea Salt Caramel Chocolate Truffles,44747632,GC,14.99,Yes,Just Because,Just Because / Miss you / Love,0
30-01-2021,Bonsai Trees Growing Kit,45664600,PC,12.99,Yes,Special Occasions,New Home,0
30-01-2021,Bonsai Trees Growing Kit,40295522,GC,12.99,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Dark Sea Salt Caramel Chocolate Truffles,45899168,PC,14.99,No,Just Because,Thank You,0
30-01-2021,Milk Chocolate &amp; Toffee &quot;Thank you&quot; and Dark Chocolate &amp; Maldon Sea Salt Bars,39188672,PC,8.49,No,Just Because,Thank You,0
30-01-2021,Belgian Chocolates Selection,38598259,PC,13.99,No,Sympathy,Get Well Soon,0
30-01-2021,&quot;I Love You&quot; Bunny,44718554,GC,11.99,Yes,Travel,Travel,0
30-01-2021,Belgian Chocolates Selection,40601824,GC,13.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Belgian Chocolates Selection,39188672,PC,13.99,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Sea Salted Caramel Shortbread &amp; English Breakfast Tea,43909614,PC,12.49,No,Just Because,Thank You,0
30-01-2021,Belgian Chocolates Selection,42430420,GC,13.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Grow Your Own Micropub Seed Kit in a matchbox,44051054,GC,5.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Italian Soft Nougat Selection,42401990,PC,13.99,Yes,Special Occasions,Happy Birthday,0
30-01-2021,Pink Marc de Champagne Chocolate Truffles,43094276,GC,14.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Demerara Shortbread Rounds Tin,40834678,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Dark Chocolate Truffles with Edible Gold Leaf,45180018,GC,14.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Sea Salted Caramel Shortbread &amp; English Breakfast Tea,45297750,GC,12.49,No,Just Because,Just Because / Miss you / Love,0
30-01-2021,Belgian Chocolates Selection,44469504,GC,13.99,No,Special Occasions,Happy Birthday,0
30-01-2021,Dark Chocolate Truffles with Edible Gold Leaf,45603720,GC,14.99,Yes,Special Occasions,Happy Birthday,0
30-01-2021,Belgian Chocolates Selection,39711581,GC,13.99,No,Special Occasions,Congratulations,0
29-01-2021,Bonsai Trees Growing Kit,43626750,GC,12.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Dark Chocolate Truffles with Edible Gold Leaf,45709230,PC,14.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,42203746,GC,8.49,No,Special Occasions,Happy Birthday,0
29-01-2021,Belgian Chocolates Selection,39569020,GC,13.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Dark Sea Salt Caramel Chocolate Truffles,38945052,GC,14.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Postcard clip and line set,43802640,GC,4.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Congrats&quot; and Milk Chocolate &amp; Salted Caramel Bars,44707572,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Happy Birthday Pearl And Candle In a Matchbox,41241468,PC,4.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,45944780,PC,8.49,No,Special Occasions,Happy Birthday,0
29-01-2021,Bonsai Trees Growing Kit,39475400,PC,12.99,No,Special Occasions,Congratulations,0
29-01-2021,Bonsai Trees Growing Kit,39060394,GC,12.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Dark Sea Salt Caramel Chocolate Truffles,41531094,GC,14.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Happy Birthday Pearl And Candle In a Matchbox,38893096,GC,4.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,The Captains Gluten Free Cookies,43878592,PC,6.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,44488082,GC,8.49,Yes,Special Occasions,Happy Birthday,0
29-01-2021,Original Toffees in Tin,39162182,GC,8.99,No,Special Occasions,Happy Birthday,0
29-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,38852526,GC,6.99,No,Special Occasions,Anniversary,0
29-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,43696166,GC,6.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Demerara Shortbread Rounds Tin,38237009,GC,9.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Bonsai Trees Growing Kit,38515665,GC,12.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Pink Marc de Champagne Chocolate Truffles,39518000,GC,14.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Demerara Shortbread Rounds Tin,39692990,GC,9.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,The Captains Kentish Apple &amp; Hazelnut Cookies,39053460,GC,6.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Gold and glass photo frame,38607591,PC,14.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,&quot;Sorry Youre Pawly&quot; Puppy,39022312,GC,11.99,Yes,Sympathy,Get Well Soon,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,38558481,GC,8.49,No,Special Occasions,Happy Birthday,0
29-01-2021,The Captains Gluten Free Cookies,10215977,PC,6.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Pink Marc de Champagne Chocolate Truffles,39597994,PC,14.99,No,Special Occasions,Congratulations,0
29-01-2021,Belgian Chocolates Selection,39772688,GC,13.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Happy Birthday Pearl And Candle In a Matchbox,38893096,GC,4.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Postcard clip and line set,45226416,PC,4.99,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Bathsecco and Gin &amp; Tonic,37050463,PC,13.99,Yes,Just Because,Just Because / Miss you / Love,0
29-01-2021,Milk Chocolate &amp; Toffee &quot;Happy Birthday&quot; and White Chocolate Birthday Cake Bars,44938810,GC,8.49,No,Just Because,Just Because / Miss you / Love,0
29-01-2021,Happy Birthday Music Box in a Matchbox,39475400,GC,5.99,No,Special Occasions,Happy Birthday,0
29-01-2021,Dark Sea Salt Caramel Chocolate Truffles,40591064,GC,14.99,No,Just Because,Thank You,0
29-01-2021,Pink Marc de Champagne Chocolate Truffles,37050463,PC,14.99,Yes,Just Because,Just Because / Miss you / Love,0
29-01-2021,The Captains Gluten Free Cookies,44509120,GC,6.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Dark Sea Salt Caramel Chocolate Truffles,42927588,GC,14.99,No,Just Because,Just Because / Miss you / Love,0
28-01-2021,Milk Chocolate with Popping Candy Lolly Making Kit,45149002,GC,9.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Pink Marc de Champagne Chocolate Truffles,41506540,GC,14.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Happy Birthday Music Box in a Matchbox,39601149,GC,5.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Dark Sea Salt Caramel Chocolate Truffles,39592301,GC,14.99,No,Special Occasions,Happy Birthday,0
28-01-2021,Sea Salted Caramel Shortbread &amp; English Breakfast Tea,38850014,GC,12.49,No,Just Because,Just Because / Miss you / Love,0
